itemname	itemprice	size	brand
"TEN XL בטעם תפוח 250 מ""ל"	5.0		
TEN XL נענע ליים ללתס250	5.0		
TIK-TAKתבשיל אישי נודל60	6.9		
VIP 212 א.ד.פ לאשה 80 מל	249.0		
WIN חטיף חלבון 66 גרם	15.5		
WIN חטיף חלבון קרם חלב65	15.5		
WIN חטיף חלבון קרם קרמל	15.5		
"XL TEN בטעם מנגו 250 מ""ל"	5.0		
XL אפרסק משמש פחית 250מל	5.0		
"XL מנגו אננס פחית 250מ""ל"	5.0		
"XL משקה אנרגיה 250 מ""ל"	5.0		
XPOניילון נצמד זוגות30*2	12.9		
"fresh pure דאו.רול 50מ""ל"	11.9		
"kh7 מסיר כתמים 750 מ""ל"	19.9		
krit מיני קרקר עגול350גר	10.9		
"one לכלב קטן עוף 1.5 ק""ג"	59.9		
"א.כביסה מקסימה מאסק 6ק""ג"	49.9		
א.כביסה שושן 1.25ק אריאל	18.9		
א.סבון לפני שינה קמיל500	19.9		
א.סבון ש. שועל קמיל1ליטר	33.9		
א.ש. חכה כתומה לחתול	24.9		
א.ש. מיני רולים סלמון	16.9		
א.ש. מיני רולים עוף כבד	16.9		
א.ש. שלוקים עוף וברווז	13.9		
א.ש. שלוקים עוף ושרימפס	13.9		
אב.כביסה מקסימה סנסטיב6ק	49.9		
אבוקדו	9.9		
אבוקדו אורגני במשקל	34.9		
אבוקדו ארוז ברשת	5.9		
אבוקדו מובחר	9.9		
אבטיח אורגני במשקל	8.9		
אבטיח אישי בארגז	2.9		
אבטיח במיכל	2.9		
אבטיח בקרטון	2.9		
אבקה להכנת גלי ט.תות100ג	15.5		
"אבקה למניעת אבנית1ק""ג"	29.9		
אבקת אפיה 10*10 גרם	3.0		
אבקת אפיה שופרסל 10*10 י	3.3		
אבקת אפייה ללא אלומיניום	18.9		
אבקת הלבנה רן 350ג בדין	22.9		
אבקת וניש כביסה לבנה1.5ק	29.9		
אבקת וניש לכביסה לבנה480	14.9		
אבקת וניש-כב.צבעונית1.5ק	29.9		
אבקת וניש-כבי.צבעוני480ג	14.9		
אבקת כב.מקסימה מאסק 2.5ק	26.9		
"אבקת כביסה קולון 5 ק""ג"	44.9		
אבקת מקסימה ג'אוול 2.5קג	26.9		
אבקת מקסימה סנסיטיב2.5קג	26.9		
אבקת מרק ירקות אורג200ג	32.9		
אבקת סוכר 100 גרם	3.0		
אבקת סוכר אריזת פטנט250ג	14.9		
אבקת סוכר במיכל 300 גרם	16.9		
אבקת סוכר שופרסל 100 גרם	3.3		
אבקת קרי 100 גרם	11.9		
אבקת שוקו בשקית 850 גרם	19.9		
אג'קס 7פעולות 2ליטר	19.9		
אג'קס חגיגת פרחי.ורוד1.5	22.5		
אג'קס לרצפה ורד הבוקר1ל	15.9		
"אג'קס לשירותים 750*2 מ""ל"	19.9		
אג'קס נוזל כללי לבנדר 2ל	19.9		
אג'קס נוזל כללי לימון 2ל	19.9		
אגוז טחון	90.0		
אגוז מוסקט טחון 40 גרם	15.9		
אגוז מלך טחון100ג'שקדיה	13.9		
אגוז מלך קלוף בשקית150	12.9		
אגוז קשיו טבעי	89.0		
אגוז קשיו טבעי 150 גרם	15.9		
אגוזי אדמה חמאת בוטנ300ג	13.9		
אגוזי מלך קלופים 150 גרם	15.9		
אגוזי מלך קלופים 200 גרם	15.9		
אגוזים בקופסא 500 גרם	34.9		
אגוזים קלופים	79.0		
אגס אורגני	24.9		
אגס אנג'ו ארגנטינה*	10.0		
אגס אסיאתי	14.9		
אגס יבוא ספרד*	12.9		
אגס סנטה מריה איטליה*	12.9		
אגס ספדונה 55	12.9		
אגס קוסטיה 50	12.9		
אגקס חג.פרחים אדום 1.5ל	22.5		
אגקס חגיגת פרח.ירוק 1.5	22.5		
"אגקס חלונות2*750מ""ל"	19.9		
אגרול סיני 400 גרם	14.9		
אדג מכשיר+7סכיני גילוח	89.9		
אדג' פרו ג'ל רגיש 198 גר	19.9		
אדום חצי יבש סלקטד 750 מ	32.9		
אדום חצי יבש של סגל750מל	21.9		
אדידס ספריי לאישה 150מל	20.9		
אדידס ספריי לאשה פאוור	20.9		
אדיקט אדפ אשה 100מל	499.0		
או בה פרוקומפורט נורמל32	25.9		
או בה פרוקומפורט סופר32י	25.9		
אובלטים ק.כוסמין אורג100	12.9		
אודון של מסעדות 400 גרם	17.9		
אוונט מוצץ חיות-טרומן	46.5		
"אוזו 12 700 מ""ל"	89.9		
אוכמניות	14.9		
אוכמניות טריות 125גרם	14.9		
אוכמניות יחידה	14.9		
אוכמניות כחולות קפוא 300	17.9		
אוכמניות כחולות קפוא300ג	18.5		
אוכמניות מחיר לפי משקל	45.0		
אול אין בוטנים קרמל 60גר	14.9		
אול אין דאבל שוקולד 60גר	14.9		
אול אין ונילה קראנץ 60גר	14.9		
אול אין סופט עוגיות 55גר	14.9		
אול אין סופט פיסטוק 55 ג	14.9		
אול אין קרם עוגיות60 גרם	14.9		
אול אין ש.לבן בוטן קר55'	14.9		
אול אין שוק.לבן עוגיות60	14.9		
אולוויז דואו לילה 20יח	21.9		
אולוויז דואו לילה מקס 14	21.9		
אולוויז מגן וליופק L 52	19.9		
אולוויז מגן וליופק N 60	19.9		
אולוויז מגן וליופק לונג	19.9		
אולוויז מגן פרו פרש L 40	19.9		
אולוויז מגנ Nללא ריח56יח	19.9		
אולוויז מגנ.ללא ריח L 48	19.9		
אולוויז מגנ.פרש L 48 יח	19.9		
אולוויז עבות לילה 9יח	13.9		
אולוויז פלטינום לונג 20	21.9		
אולוויז פלטינום לילה 14	21.9		
אולוויז פלטינום לילה 16י	21.9		
אולוויז פלטינום נורמל 24	21.9		
אולווייז דואו לונג 24יח	21.9		
אולטרא פט מעדן בקר לחתול	5.9		
אולטרא פט מעדן ברווז100ג	5.9		
אולטרא פט מעדן סלמון100ג	5.9		
אולטרא פט מעדן עוף לחתול	5.9		
אולטרסול SPF20 קוקוס200מ	51.9		
אולטרסול סטיק לתינוק14מ	49.9		
אולטרסול סטיק פנים SPF50	49.9		
אולטרסול ספורט ספריspf30	49.9		
אולטרסול ספריי שקוףSPF30	49.9		
אולטרסול קידס קרם פנים30	33.9		
אולטרסול קרם פנים+SPF50	55.9		
אולטרסול תחליבSPF50 200	65.5		
"אוללה מים מוגזים 330 מ""ל"	5.0		
אוסובוקו טרי )עצמי( מחיר	69.9		
אוקסיגן גל 3ליטר	32.9		
אוקסיגן מ.כתמ.מרסס 750מ	18.9		
אוראו מצופה שוק.חלב246ג	17.9		
אורביט אוכמניות בקבוק64ג	11.3		
אורביט באבל מינט בקבוק64	11.3		
אורביט וייט פירות 64גרם	11.3		
אורביט פפרמינט בקבוקון64	11.3		
אורביט רפרשרס אבטיח 67 ג	13.5		
אורביט רפרשרס טרופיקל67ג	13.5		
אורביט רפרשרס ספירמינט67	13.5		
אורביט רפרשרס פפרמינט67ג	13.5		
אורביט רפרשרס תות לימון	13.5		
אורביטול שטיפה פרוטקט500	25.9		
אורגינל 120 גרם	12.9		
אורגנו במיכל 30 גרם	11.9		
אורגנו בשקית 20 גרם	6.0		
אורגנו יחידה	5.9		
אורגנו עלים 20 גרם	6.9		
אורגנו שופרסל 40 גרם	9.9		
אורז אדום 500ג סוגת	10.9		
אורז בסגנון ספרדי 140ג	13.9		
אורז בסמטי	49.9		
"אורז בסמטי 1 ק""ג"	11.9		
"אורז בסמטי 1 ק""ג ARNO"	14.9		
"אורז בסמטי 1 ק""ג RIZELLE"	14.9		
"אורז בסמטי גונאם 1 ק""ג"	13.9		
אורז בסמטי דאווט	14.9		
אורז בסמטי חום מלא דווט1	16.9		
"אורז בסמטי טילדה 1 ק""ג"	23.0		
אורז בסמטי מלא 1ק סוגת	14.9		
אורז בסמטי קלאסי1ק סוגת	15.9		
אורז בסמטי ששון הקולה1קג	11.9		
אורז ועדשים+טונה 160ג	15.9		
"אורז יסמין טילדה 1 ק""ג"	18.9		
אורז יסמין קלאסי 1ק סוגת	12.9		
אורז להכנת סושי 1ק סוגת	13.9		
"אורז לסושי 1 ק""ג"	10.9		
אורז מיקס 500 גרם סוגת	10.9		
"אורז עגול 1 ק""ג סוגת"	12.9		
"אורז פרסי 1 ק""ג RIZELLE"	10.9		
"אורז פרסי דאווט 1 ק""ג"	12.5		
אורז פרסי קלאסי 1קג סוגת	11.9		
"אורז תאילנדי סוגת 1 ק""ג"	7.9		
אורל בי White 3D לבן 75	25.9		
אורל בי White 3Dלובן75מל	25.9		
אושן ספריי חמוציות 1ליטר	13.9		
אושן ספריי חמוציות דיאט	13.9		
אטבי כביסה מסיליקון 24יח	20.0		
אטבי כביסה מעץ 24 יחידות	11.9		
אטריות אורז דקות 200 גרם	8.0		
אטריות אורז דקות 400ג FU	8.9		
אטריות אורז רחבות ללג454	9.2		
אטריות אורז רחבות400 גרם	15.5		
אטריות אורז רחבות400ג FU	8.9		
אטריות בבטה מס13' 500גרם	7.9		
אטריות בינוניות 400 גרם	5.9		
אטריות ביצים	9.9		
אטריות ביצים 454 גרם	10.9		
אטריות ביצים מס10. 200גר	9.5		
אטריות ביצים פפרדלה400ג	15.5		
