itemname	itemprice	size	brand
"ורדי אפרסק 750 מ""ל"	27.9		
ורטר פופקורן קרמל 140גר	17.9		
זוג כפפות Handy בינוני	6.9		
זוג מ.ש.סנסודיין רגישות	19.9		
זוג מוצצים +6 קלירלי בת	50.9		
זוג מוצצים 0-2 בת)ורוד(	50.9		
זוג מוצצים פרל 0-6 בת יח	50.9		
זוג מפות אלבד מקופלות2יח	15.0		
זוג ספוגים דו צצדים	9.9		
זוג קליפסים חום	9.9		
זוג קליפסים שחור	9.9		
זוג רדידים 7.5 מטר	14.9		
זוג תירס מתוק מבושל	15.9		
זחוק אדום חריף זהבי150ג	10.0		
זית בלאדיירוק מבוקע 215ג	16.9		
זית יווני	69.0		
זית יווני/שחור משקל	59.0		
זית ירוק חרוזית ל.גלע540	14.9		
זית ירוק יווני עם שום190	16.9		
זית ירוק עשבי תיבול 215ג	16.9		
זית ירוק+צ'ילי חריף 215ג	16.9		
זית מנזנילו ירוק גדול540	12.9		
זית קלמטה ללא גלעין190גר	16.9		
זית שחור שלמים קלמטה340	16.9		
זית+מלפפון קורנישונים190	16.9		
זית.שחור חרוזית קלמטה560	18.9		
זיתי קלמטה אורגניים300ג	22.9		
זיתים חרוזית 560 גרם	15.9		
זיתים ירוקים בטעם שום560	13.5		
זיתים ירוקים בינוני 560ג	12.5		
זיתים ירוקים גדולים 560ג	13.5		
זיתים ירוקים גדולים560	12.9		
זיתים ירוקים גדולים560ג	10.9		
זיתים קלמטה 215 גרם	16.9		
זיתים שחורים קלמטה454גרם	15.9		
זיתים תפזורת במשקל	69.0		
זיתים+עגבניות מיובשות190	16.9		
זנב טרי קג	69.9		
זנגויל טחון מיכל 30 גרם	7.9		
זעתר בשקית 80 גרם	6.9		
זעתר מעורב 100 גרם	11.9		
זעתר שומשום 100ג אל נחלה	10.9		
זר דייט ראשון יחידה	39.0		
זר הקסם של זואי יחידה	85.0		
זר מכל הלב יחידה	27.0		
זר פראי בלב יחידה	59.0		
זר פריחת הלב יחידה	30.0		
זר קשת בענן יחידה	69.0		
זר רגע של שקט יחידה	35.0		
זרעי בזיליקום ירוק 100זר	10.9		
זרעי בצל ירוק 100זרעים	10.9		
זרעי גזר אדום 100 זרעים	10.9		
זרעי כוסברה 100 זרעים	10.9		
זרעי עגבניות שרי מיקס	10.9		
זרעי פטרוזיליה 100 זרעים	10.9		
זרעי פלפל חריף מיקס	10.9		
זרעי פשתן אורגניים 500 ג	10.9		
זרעי צ'יה 300 גרם	13.9		
זרעי שמיר 100 זרעים	10.9		
ח. תפוחים אורגני	19.9		
"ח.חלווה לייט ללת""ס25*11ג"	14.9		
"ח.טורטיה שום בצל כל""פ60ג"	9.5		
ח.פרוטאין שוקולד קרמל62ג	13.9		
חביתה טבעונית 250 גרם	34.9		
חגיגה ירוקה להקפצה 800 ג	25.9		
חגיגת גרנולה פ.יבשים500ג	24.9		
חוואג' למרק בשקית 100גרם	8.9		
חוואיג' במיכל 100 גרם	11.9		
חוט דנטלי ללא שעווה 50 מ	19.9		
חוט דנטלי שעווה מנטה 50מ	10.0		
חול חתולים גריי 10 קג	59.9		
חול מתגבש מודיפיי 10ליטר	59.9		
חול קריסטל מודיפיי	24.9		
"חומוס 1 ק""ג סוגת"	16.5		
חומוס 40% טחינהעם תטבילה	13.9		
חומוס 500 גרם סוגת	9.9		
חומוס 700 גרם	10.9		
חומוס אבו גוש 250 גרם	12.9		
חומוס אבו גוש 400 גרם	12.9		
"חומוס אחלה 1 ק""ג"	15.3		
חומוס אחלה 400 גרם	9.9		
חומוס אחלה 750 גרם	11.9		
חומוס אסלי 400 גרם	10.9		
"חומוס גדול שופרסל 1 ק""ג"	13.9		
חומוס גלילי 400 גרם	12.3		
חומוס גלילי 600 גרם	14.3		
חומוס גרגרים בתטבילה400ג	16.5		
חומוס יום יום 125 גרם	5.0		
חומוס לבן ענק שופרסל 1קג	17.9		
חומוס לבן ענק שופרסל500ג	9.9		
חומוס לבנוני צבר 400 גרם	12.9		
חומוס מוקפא 800 גרם	17.9		
חומוס מסבחה 250 גרם	12.9		
חומוס מסעדה צבר 700גרם	11.9		
חומוס מסעדות 250 גרם	12.9		
חומוס מסעדות שופרסל250ג	11.7		
חומוס עם בצל מטוגן 380 ג	13.9		
חומוס עם זעתר אחלה 400 ג	11.9		
חומוס עם זעתר צבר 375 גר	12.9		
חומוס עם חריף אחלה 400 ג	11.9		
חומוס עם חריף חדש צבר 3	12.9		
חומוס עם טחינה אחלה 400ג	11.9		
חומוס עם טחינה צבר 400גר	12.9		
חומוס עם פלפל שיפקה380ג	13.9		
חומוס עם צנובר אחלה 400ג	11.9		
חומוס ענק 500 גרם סוגת	10.9		
חומוס עשיר 50% טחינה 400	13.9		
חומוס עשיר ב30% טחינה400	13.9		
חומוס עשיר ב40% טחינה400	13.9		
חומוס צבר 400 גרם	12.5		
חומוס צנובר צבר 400 גרם	12.9		
חומוס קלוי	40.0		
חומוס שלם יכין 550 גרם	10.0		
חומוס40%מועשר+חריף250גר	11.3		
חומוסטחינה צבר 400 גרם	16.5		
חומץ 5% 1 ליטר	6.9		
"חומץ אורז 500 מ""ל"	12.9		
חומץ אורז לבן לסושי300מל	11.9		
"חומץ בלסמי גקובזי 500מ""ל"	19.9		
חומץ בלסמי ממודנה 500 מל	19.9		
"חומץ יין אדום 500 מ""ל"	15.5		
"חומץ יין לבן 500 מ""ל"	15.5		
"חומץ תפוחי עץ 500 מ""ל"	15.5		
"חומץ תפוחי עץ 750 מ""ל"	14.5		
חזה אווז מעושן 100 גרם	36.9		
חזה אווז קפוא	149.9		
חזה בגריל צמחוני99קלוריו	29.9		
חזה בקר דק דק 120 גרם 12	16.5		
חזה בקר דק דק יחיעם 120	15.9		
חזה הודו בדבש במשקל	100.0		
חזה הודו ברביקיו במשקל	70.0		
חזה הודו גולן זוגלובק	106.0		
חזה הודו טרי ארוז	39.9		
חזה הודו נ.טרי ארוז עצמי	39.9		
חזה הודו תבור דל שומן מש	106.0		
חזה כבש טרי עצמי קג	79.9		
חזה עוף ארוז קפוא מחיר ל	37.9		
חזה עוף טרי א.דיל עצמי	39.9		
חזה עוף טרי ארוז	39.9		
חזה עוף טרי ארוז דיל לקג	39.9		
חזה עוף טרי ארוז עטרה לק	45.9		
חזה עוף טרי שופרסל	39.9		
חזה עוף טרי תפ קג	39.9		
חזה עוף פרוס ארוז קפוא	44.9		
"חט.חלבה פקאן ללת""ס7*18גר"	13.4		
חט.חלבון טריפל שוקולד64ג	14.5		
חט.נייטשר וואלי מעורב5יח	21.9		
חט.שוקו.חלב+חמאת בוטנ42ג	6.9		
חט.תמר חמאת בוטנים150ג	20.9		
חט.תמרים +חמאת שקדים150ג	20.9		
חטיף FREE עם שוקולד 5יח'	19.5		
חטיף FREE תמר וקינמון5יח	19.5		
חטיף FREE תמרים קשיו25*5	19.5		
חטיף אגוזים ישראלי 250גר	19.9		
חטיף אמיצ'לי ק.אגוז150ג	18.9		
חטיף אננס קראנצי פרי20	11.9		
חטיף אצות 3יח4.5* גרם	10.0		
חטיף אצות ים 10יח4*גרם	19.9		
חטיף אצות ים אורגני4.5*9	32.5		
חטיף גליליות בקר 80 גרם	9.9		
חטיף גרדנה אגוז 38 גרם	4.9		
חטיף גריל עבאדי 8* 40גרם	17.9		
חטיף דובונים 40 גרם	4.9		
חטיף חלבון בטעם בוטנים50	13.5		
חטיף חלבון דאבל שוקולד50	13.5		
חטיף חלבון ט.בננה טופי64	14.5		
חטיף חלבון קרם עוגיות 65	14.5		
חטיף חלבון שוקולד חלב50ג	13.5		
חטיף חלווה בטעם וניל100ג	3.5		
חטיף חריף בקופסא 120 גרם	12.9		
חטיף טויסט 28 גרם	4.9		
חטיף טורטינה 21 גרם	5.5		
חטיף טורטית שוקולד לבן40	4.9		
חטיף טעם שוקולד 39 גרם	6.9		
חטיף טעם שוקולד 62 גרם	13.9		
חטיף טעמי 40 גרם	4.9		
חטיף יפני חריף	75.0		
חטיף כורכום רוזמרין100ג	19.9		
חטיף כיף כיף לבן 45 גרם	4.9		
חטיף כיפלי בטעם בצל 70גר	6.5		
חטיף כיפלי בטעם גריל70ג	6.5		
חטיף כיפלי צ'יפס 50 גרם	6.5		
חטיף כיפלי ציפס קטשופ50ג	6.5		
חטיף מקל עוף,דג,עור בקר	9.9		
חטיף נייטשר וואלי דבש5יח	21.9		
חטיף נשנושים זעתר 260 גר	15.9		
חטיף נשנושים+סלק 200ג	18.9		
חטיף נשנושים+עגבניות 200	18.9		
חטיף סושי עוף ודג80 גרם	9.9		
חטיף עוף,ברווז,עור בקר80	9.9		
חטיף פוף קראנץ' טאקו60ג	4.0		
חטיף פיטנס דגנים קלאסי6י	17.5		
חטיף פיטנס עשבי תיבול25ג	6.5		
חטיף פיטנס צילי 25 גרם	6.5		
חטיף פיטנס שקדים ודבש6יח	17.5		
חטיף פרוטאין עוגיות טופי	13.9		
חטיף פרוטאין קרם עוגיות	13.9		
חטיף פרוסות סלמון80ג	9.9		
חטיף צ'יטוס PUFFS פיצה60	4.5		
חטיף צ'יטוס בטעם קטשופ55	4.5		
חטיף ציטוס puffs גבינה55	4.5		
חטיף צרלי נגיסי ברווז	9.9		
חטיף צרלי סושי רול	9.9		
חטיף צרלי פילה בקר	9.9		
חטיף קוקומן שוקולד 21*6ג	16.9		
חטיף קיט קאט אצבעות41ג	5.9		
חטיף קינדר הפי היפו 5יח	14.9		
חטיף קליק אין קרם חלבי38	5.9		
חטיף קליק אין קרם נוגט38	5.9		
חטיף רולים קוקוס שוקולד	20.9		
חטיף ש.שועל טעם שוקולד	21.9		
חטיף ש.שועל+דבש42*5ג	14.5		
חטיף ש.שועל+קינמון42*5ג	14.5		
חטיף שוגי קורנפלקס 6*26ג	16.9		
חטיף שוקולד אגוזי 45 גרם	4.9		
חטיף שוקולד חלב מרוכז43ג	5.9		
חטיף שוקולד ממולא קרמל40	5.9		
חטיף שוקולד מקופלת 25 גר	4.9		
חטיף שקדים ושוקולד 120 ג	24.9		
חטיף תמר+חמאת שקד 150 גר	20.9		
חטיף תפוחים קראנצי פרי20	11.9		
חטיף+ציפוי קוקוס רפאלו30	7.9		
חטיףFREEבוטנ+שקד+שוק140ג	18.9		
חטיףfreeבוט.שקד קרמל35*4	18.9		
חטיפ.פריכונים ט.טבעי80גר	9.5		
חטיפ.תמר+ציפוי שוקולד150	20.9		
חטיפוני גזר 130גרם	7.9		
חטיפוני גזר 350גרם	14.9		
חטיפטף לפתן פירות 120גרם	6.2		
חטיפטף פירות מעורבים120ג	6.2		
חטיפטף פרינוק פירות120ג	6.2		
חטיפטף פרינוק תפוח 120 ג	6.2		
חטיפטף פרינוק תפוח בננה	6.2		
חטיפי FREE תמר+בוטנים5יח	19.5		
חטיפי דגנים ליון 6*25 ג	17.5		
חטיפי דגנים ציריוס 6 יח	17.5		
חטיפי דגנים שוק.בננה 6יח	17.5		
חטיפי חלבה וניל 7*18 גרם	13.9		
חטיפי חלבה פיסטוק 7*18 ג	13.9		
חטיפי חלווה שופרסל 250 ג	11.9		
חטיפי טוויקס 5 * 40 גרם	17.0		
חטיפי כרובית	25.9		
חטיפי מיני קבנוס פיקנטי	11.9		
חטיפי מרס 5 * 45 גרם	17.0		
חטיפי סניקרס 5 * 50 גרם	17.0		
חטיפי פיצה גבינה 650 גרם	34.9		
חטיפי פיצה זיתים 710גרם	34.9		
חטיפי פריכונים עם דבש80ג	9.5		
חטיפי קבנוס 120 גרם	11.9		
"חטיפי קרח 70*30 מ""ל"	13.9		
חטיפי קרח גדולים 8*100מל	8.9		
חטיפי קרקר ביסלי בצל150ג	13.9		
חטיפי קרקר חיטה מלאה234ג	13.3		
חטיפי קרקר חמוץ חריף150ג	13.9		
חטיפי קרקר שמנת בצל150ג	13.9		
חטיפי שוגי שוקולד 26*6ג	16.9		
חטיפי תירס טבעול 657 גרם	37.9		
חטיפים שונים ארוזים330ג	16.9		
חיוכים וניל 600 גרם	20.9		
חיוכים שוקולד 600 גרם	20.9		
חיטה 500 גרם סוגת	6.9		
"חיטה שופרסל 1 ק""ג"	8.9		
חיטה תפוחה טבעי140 גרם	10.9		
חייאתי אדפ יוניסקס 12 מל	665.0		
חל.קמומיל+דבש גן קסום25ש	19.9		
חלב 3% בקרטון מהדרין 2ל'	14.56		
חלב בקרטון 3% שומן 1 ל'	7.28		
חלב טרי 2% דל לקטוז 1 ל	7.9		
חלב טרי הומוגני3% 1.5ל'	10.92		
חלב טרי מהגולן 3% 1 ליטר	7.28		
חלב מוע.נטול לקטוז2% 1.5	14.8		
חלב מועשר יטבתה 3%כד 2ל'	18.4		
חלב מועשר1% בקבוק 1ליטר	9.6		
חלב מועשר2%נטול לקטוז 1ל	9.0		
חלב מועשר3% בקבוק 1ליטר	8.9		
חלב מועשרD +3%סידן 1ליטר	8.9		
חלב מפוסטר 1% בקרטון 1ל'	6.85		
חלב מפוסטר 3%שקית 1 ל'	6.35		
חלב מרוכז ממותק 370 גרם	11.9		
חלב נטו.לקטוז מועשר2% 1ל	9.9		
חלב נטול לקטוז 2% 1 ליטר	8.9		
חלב נטול לקטוז וניל2% 1ל	13.0		
חלב נטול לקטוז מעשר2% 1ל	12.9		
חלב עיזים מלא 3.6% 1ליטר	18.2		
חלב עיזים קרטון4.1% 1ל'	20.9		
חלב עמיד הומוגני 3% 1 ל'	9.1		
"חלב קוקוס 400 מ""ל"	8.9		
חלבה אורגנית מלאה 300גרם	24.9		
חלבה וניל 500 גרם	16.9		
חלבה וניל בארכה 350 גרם	16.5		
"חלבה וניל ללת""ס 350 גרם"	17.3		
חלבה מיקס פינוקיות10*20ג	14.5		
חלבה ממולאת במשקל	59.0		
חלבה מסולסלת	16.9		
חלבה פיסטוק 400 גרם	16.9		
חלבה פיסטוק בארכה 350גרם	16.5		
חלבה שקדים 400 גרם	16.9		
חלבון קרמל ואגוזים 60ג	15.9		
חלבון שוק.לבן עוגיות50	13.5		
חלבון שוק.קרמל מלוח 50	13.5		
חלבון שוקולד עוגיות60ג	15.9		
חלה דגנים קלועה 500 גרם	15.5		
חלה מתוקה עגולה	15.5		
חלה מתוקה קלוע+צימוקקפוא	15.5		
חלה מתוקה קלועה 450 גרם	15.5		
חלה עגולה 650 גרם	7.9		
חלה קלה פרוסה 500 גרם	14.9		
חלה קלועה 650 גרם	6.6		
חלה קלועה רגילה 500 גרם	5.9		
חלה קלועה שופרסל	15.5		
חלה רגילה 500 גרם	5.9		
חלווה בטעם וניל 500 גרם	14.9		
חלווה וניל שופרסל 400גרם	13.9		
חלווה מסולסלת שופרסל250ג	13.9		
חלווה מעודנת שופרסל 400ג	13.9		
חלווה שיש שוקו וניל 400ג	13.9		
חלומי בקר 200 גרם	24.9		
חלומי בקר 24% 200 גרם	17.9		
חלומי גד 24% במשקל	116.0		
חלומי גד גב.קשה 24% 200ג	26.5		
חלומית חלה מתוקה ארוז500	14.9		
חליות מתוקות 4 יח'	13.9		
חליטה גלילית 25ש2*גרם	19.9		
חליטה מדברית 25ש2.3*גרם	19.9		
חליטה קרה לימונענע 45ג	25.9		
חליטה קרה פטל אוכמניות45	25.9		
חליטת אינגליש ברקפסט20ש	19.9		
חליטת ג'ינג'ר ודבש 20שק	15.9		
חליטת ג'ינג'ר ודבש 25שק	19.9		
חליטת ג'ינג'ר כורכום20שק	15.9		
חליטת חמדת השקד 25ש2.3*ג	19.9		
חליטת טולסי גינגר 25שק	18.5		
חליטת טולסי יסמין25*1.7ג	18.5		
חליטת לואיזה 20 שקיקים *	20.9		
חליטת לימון ג'ינג'ר20שק	10.0		
חליטת לימונית לואיזה 25ש	19.9		
חליטת לימונית לואיזה50שק	38.9		
חליטת מנטה גן קסום25ש2*ג	19.9		
חליטת פירות יער 25ש2.7*ג	19.9		
חליטת פירות יער20שקיק3*ג	15.9		
חליטת צ'אי הודי2.5ג20*שק	19.9		
חליטת צמחים נענע 20שק	15.9		
חליטת קמומיל 20 שק1.5*ג	15.9		
חליטת קמומיל 25שק1.3*גרם	11.9		
חליטת קמומיל ולואיזה 20ש	12.5		
חליטת קמומיל ולימונית25ש	19.9		
חליטת קמומיל ונענע 25שק	11.9		
חליטת קמומיל לבנדר 25שק	20.9		
חליטת קמומיל+נענע25ש1.5*	19.9		
חליטת קסם הקינמון25ש*2.5	19.9		
חליטת שומר 20 * 2 גרם	15.9		
חליטת תה בטעם פירות 20 ש	12.5		
חליטת תה סאמר בוקט 25 שק	10.0		
חליטת תה פירות אדומים20ש	10.0		
חליטת תה קמומיל 25ש1.5*ג	10.0		
חליטת תפוח טורקי20ש2.5*ג	15.9		
"חלמיש יין קברנה 750 מ""ל"	59.9		
"חלמיש קברנה 750 מ""ל"	59.9		
חמאה 82.5% רושן 200 גרם	13.9		
"חמאה 82.5% רושן בד""ץ200ג"	13.9		
חמאה FERMA 82.5%גרם 200	13.9		
חמאה איטלקית 100 גרם	10.0		
חמאה איטלקית מלוחה 100גר	10.0		
"חמאה ווליו ללת""מ 200 גרם"	16.9		
חמאה זהב לא מלוחה 200 גר	17.9		
חמאה מהדרין 200 גרם	9.8		
חמאה מלוחה ווליו 200 גרם	16.9		
חמאה מלוחה רכה 250גרם	27.9		
חמאה מתובלת 100 גרם	14.9		
חמאה רכה 250 גרם	27.9		
חמאת אגוזי לוז 200 גרם	28.9		
חמאת אגוזי נמר קשיו350 ג	35.9		
חמאת אגוזי נמר שקדים350ג	35.9		
חמאת בוטנ.סקיפי קלאסי454	24.5		
חמאת בוטנ.סקיפי שברים454	24.5		
חמאת בוטנים	13.9		
"חמאת בוטנים 1 ק""ג"	35.9		
חמאת בוטנים 510 גרם	13.9		
חמאת בוטנים טבעית 350גרם	14.9		
חמאת בוטנים טבעית 510גרם	10.0		
חמאת בוטנים טבעית 760 גר	26.9		
חמאת בוטנים טבעית+שבב510	10.0		
"חמאת בוטנים ללת""ס340"	24.5		
חמאת בוטנים קרנצי350 ג	14.9		
חמאת קשיו 100% ממרח300ג	28.9		
חמאת שקדים100% 350 גרם	39.9		
חמוציות 250 גרם	12.9		
חמוציות מיובשות ללא סוכר	89.0		
חמוציות מיובשות מסוכרות	45.0		
חמוציות מסוכרות 250 גרם	15.9		
חמישיה טילון גלידל שוקו	36.9		
חמישיה שלגון וניל ש.בלונ	25.9		
חמישיה שלגון ונילש.פיסטו	25.9		
חמישיית מאפין דבש גידרון	13.5		
חמישיית מאפין שוקו 200גר	13.5		
חמניות קלופות 250 גרם	11.9		
חמניות קלופות טבעי	45.0		
חמצוצים 4 צבעים 100 גרם	12.5		
חמצוצים בטעם פטל 100 גרם	12.5		
חמצוצים בטעם קולה 100גרם	12.5		
חמצוצים בטעם תות 100 גרם	12.5		
חמצוצים בטעם תפוח 100גרם	12.5		
"חמצן וולה 9% 60 מ""ל"	4.0		
חמשושים יחידה	8.9		
חסה אורגני יחידה	7.9		
חסה אייסברג שטופה 300גרם	11.9		
חסה לאליק הידרופונית	13.9		
חסה לאליק צבעונית הידרופ	13.9		
חסה לבבות	10.9		
חסה לבבות אורגנית	15.9		
חסה לבבות קיסר	10.9		
חסה לבבות קיסר יחידה	10.9		
חסה מעודנת הידרופונית יח	13.9		
חסה סלנובה	13.9		
חסה סלנובה הידרופונית	13.9		
חסה עגולה ארוזה	6.9		
חסה ערבית יחידה	4.9		
חסה ערבית כשר יחידה	7.9		
חצאי זיתים ירוקים 190 גר	16.9		
חצי בגט	4.2		
חציל	6.9		
חציל בטחינה 400 גרם	14.9		
חציל בטעם כבד 400 גרם	15.9		
חציל בלדי	7.9		
חציל במיונז 125 גרם	5.0		
חציל במיונז 250 גרם	12.9		
חציל במיונז אחלה 500 גרם	15.9		
חציל במיונז מרובע 400גרם	15.5		
חציל במיונז שופרסל 250 ג	11.7		
חציל על האש בטחינה400גר	15.5		
חציל פיקנטי אחלה 500 גרם	15.9		
חציל קלוי על האש 650 גרם	13.9		
חציל קלוי על האש 670 גרם	9.9		
חצילים על האש 400ג	14.9		
חרדל אורגני	14.9		
חרדל אקסטרא פורטה 370גרם	10.0		
חרדל גרגרים	14.9		
חרדל דיז'ון גרגירים360גר	21.9		
חרדל דיז'ון חלק 360 גרם	18.9		
חרדל דיז'ון צרפתי 370 גר	10.0		
חרדל דיז'ון ריין 350 גרם	10.0		
חרדל דיזון צרפתי 370גרם	12.5		
חרדל דיזון+גרגיר.שופר350	10.0		
חרדל לחיץ 260 גרם	11.0		
חרוזי זיתים ירוקים 560 ג	13.9		
חרוזי זיתים מושחרים 560	13.9		
חרוזית זיתים מושחרים 275	12.9		
חרוזית קוקטייל זיתים275ג	18.9		
חרוזיתא זית ירוק 190 גרם	16.9		
חריסה 570 גרם	11.9		
חתיכ.פילה הרינג מומלח500	29.9		
חתיכות אננס קפוא 300גרם	17.9		
חתיכות הרינג מלוח מצונן	18.9		
חתיכות פילה דג הרינג	33.9		
חתיכות פילה דג הרינג260ג	19.9		
חתיכות פילה דג הרינג400ג	33.9		
חתיכות פילה הרינג מומלח	29.9		
חתיכות פילה הרינג מלוח	18.9		
חתיכות פילה הרינג ממולח	11.9		
חתיכות פילה הרינג עם בצל	11.9		
טארטלטים תחתיות למילו120	16.9		
טב.למדיח פאוור מרענן 72י	54.9		
טב.פררו אגוזי לוז+לבן 92	18.0		
טב.פררו אגוזי לוז+מריר92	18.0		
טב.רושה אגוזי לוז+חלב 92	18.0		
טבורוג 9% במשקל	39.0		
טבליות סטיביה 150 יחידות	34.9		
טבלת טורינו חלב 100 גרם	18.9		
טבלת טורינו מריר 100ג'	18.9		
"טבסקו סרירצ'ה 566 מ""ל"	29.9		
טבעול נקניקיות קוקטייל צ	35.9		
טבעות בצל 500 גרם	16.9		
טבעות בצל 700 גרם	19.9		
טבעות גאודה בציפוי350גרם	29.9		
טבעות דגנים בטעם דבש 375	20.9		
טבעות זיתי קלמטה 560 גרם	17.5		
טבעות זיתים ירוקים 560 ג	15.9		
טבעות זיתים ירוקים 560ג	13.9		
טבעות זיתים ירוקים540גרם	14.9		
טבעות זיתים מושחרים540גר	14.9		
טבעות זיתים מושחרים560ג	13.9		
טבעות קוקטייל זיתים 560ג	14.9		
טבעות תירס ואורז 325 גרם	32.9		
טובורג גרין בק.חוזר500מל	9.5		
"טובורג גרין בק330X6. מ""ל"	39.9		
"טובורג רד בק.חוזר 500מ""ל"	9.5		
טוויזלרס ממתק טעם תות198	9.9		
טוויקס חטיף בודד 50 גרם	6.9		
טוויקס לבן בודד 46 גרם	6.9		
טוויקס מיני 333 גרם	29.9		
טומי חרדל עדין שפורפר200	15.9		
טומי מיונז אמיתי 170 גרם	15.9		
טומי מיונז מופחת שומן170	15.9		
טומי קטשופ מיונז שפור190	15.9		
טונה SURINIA במים 140*4ג	24.9		
טונה SURINIAבשמן 140*4גר	24.9		
טונה אלבקור פרוס קג	62.9		
טונה בהירה בשמן צמחי3*80	13.5		
טונה בהירה שמן צילי חריף	13.5		
טונה בהירה שמן צמחי3*80ג	14.5		
טונה במי מלח פילטונה4	25.5		
טונה בש.צמחי סוריניה80*3	12.9		
טונה בשמן ויליגר140*4גרם	22.9		
טונה בשמן זית 65*3 גרם	28.9		
טונה בשמן זית ופלפל160גר	20.5		
טונה בשמן זית80*3 עץ זית	25.9		
טונה בשמן זית80*3ג	29.9		
טונה בשמן צמחי 3*65גרם	19.9		
טונה בשמן צמחי פילטונה4	25.5		
טונה בשמן קנולה ויליגר 4	22.9		
טונה בשמן קנולה פילטונה4	25.5		
טונה בשמן קנולה80*3 גרם	14.5		
טונה כהה פרוס עם עורקפוא	49.9		
טונה סטארק.שמ.סויה120*2ג	12.9		
טונה סטארקיסט במים4*160ג	25.9		
טונה סטארקיסט בשמן4*160ג	25.9		
טונה סטארקיסט קנולה160*4	25.9		
טונה פוסידון בשמן108*4ג	23.5		
טונה ריו בשמן זית 160גרם	20.5		
טונה ריו שמן זית לימ65*3	29.9		
טונה שמן זית160*2 עץ זית	28.9		
טוסו שוקולד חלב 100 גרם	16.9		
טוסו שוקולד מריר 100גרם	16.9		
טוסו שוקולד מריר62% 100ג	16.9		
טוסטי גבינה 23% 200 גרם	22.9		
טוסטעים פת קלוי+שומשו100	12.5		
טוסטעים פת קלויה 100 גרם	12.5		
טופו אורגני 300 גרם	13.9		
טופו בטעם טבעי 300 גרם	14.5		
טופו במרקם קשה 1.2 קג	19.9		
טופו בתוספת סידן 300 גרם	12.9		
טופו ויילר 300 גרם	12.9		
טופו טבעי 500 גרם	20.7		
טופו טעם טבעי 300 גרם	12.9		
טופו טרי במרקם קשה 400 ג	12.9		
טופו עם בזיליקום	14.5		
טופו קשה משפחתי	20.2		
טופו רך גרין 300 גרם	12.9		
טופי בטעמי פירות 500גרם	15.9		
טופיפי 125 גרם	11.0		
טורטיה חיטה 8יח 40* גרם	12.9		
טורטיה חיטה מלאה 320 גרם	10.9		
טורטיה חיטה מלאה 40*8גרם	12.9		
טורטיה מוגברת חלבון40*8ג	12.9		
טורטיה קמח חיטה תירס450ג	11.9		
טורטיה קמח כוסמין40*8גרם	12.9		
טורטיות מקמח חיטה 65*12ג	16.9		
טורטיות פשתן וצ'יה 40*ג8	12.9		
טורטיות קמח כוסמת 40*8גר	12.9		
טורטייה מקמח חיטה 450גרם	11.9		
טורטייה מקמח חיטה 700גרם	14.9		
טורטינה שוקולד לבן 125גר	20.9		
טורטית וופל מצופה שוק40ג	4.9		
טורטליני עם פטריות 400גר	19.9		
טורקי מארז 100*4ג +פנס	31.9		
טחון הודו 500 גרם	14.9		
טחון הודו אדום מתובל	15.5		
טחון כתף טרי משקל	84.9		
טחון מהצומח לבולונז500גר	28.9		
טחון מהצומח צליה גריל500	28.9		
טחון עגל 100% 500 גרם	29.9		
טחינ.גולמית מעוד.לחיץ380	15.5		
טחינה אורגנית גרין 500 ג	17.9		
טחינה אורגנית מלאה500ג	17.9		
טחינה אחלה 500 גרם	17.1		
טחינה בלאדי חציל קלוי350	17.5		
טחינה בלאדי פלפל חריף350	17.5		
טחינה בלאדי רפי כהן 400ג	18.5		
טחינה גולמית 100% 500 גר	16.3		
טחינה גולמית 1קג אל ארז	32.9		
טחינה גולמית אל ארז 500ג	18.9		
טחינה גולמית מעודנת 310	14.3		
טחינה גולמית סלה 500 גרם	10.0		
טחינה יום יום 125 גרם	5.0		
טחינה ירושלים 500 גרם	18.5		
טחינה לבנה 400 גרם	15.9		
טחינה מלאה 500ג אל ארז	19.9		
טחינה מלאה ירושלים 500 ג	18.5		
טחינה מעודנת שומש.מלא310	14.3		
טחינה על חציל קלוי 380 ג	15.9		
טחינה פי 6 שומש.מלא 500ג	17.4		
טחינה צבר מרובע 400 גרם	15.5		
טחינה שומש.מלא בארכה500ג	18.3		
טייד א.כביסה אפקט פיירי7	59.9		
טיים בלו	39.5		
טיים בלו ארוך חפיסה	39.5		
טיים רד	39.5		
טיים רד ארוך	39.5		
טיים רד פאקט	390.0		
טייסטרס צ'ויס בריסטה200ג	39.9		
טילון בראוניז מטבע ענק י	11.9		
טילון מטבע לבן ופיסטוק 1	11.9		
טילון שמנת וניל ושוקו	8.9		
טילון שמנת וניל ותות	8.9		
טילון שמנת וניל קרמל	8.9		
טים טם אורגינל 200 גרם	23.9		
טים טם דאבל 200 גרם	23.9		
טימין 20 גרם	7.9		
טימין מיכל גדול 30 גרם	11.9		
טיק טק TWO מנטה עדין 40	8.9		
טיק טק TWO פטל לימון 40	8.9		
טיק טק מנדרינה וליים16ג	4.9		
טיק טק סוכריות מנטה16גרם	4.9		
טירמיסו 82 גרם	8.5		
טישו מסק מסכה תה ירוק	16.9		
טל העמק חריץ 32% במשקל	79.0		
טליאטלה אטריות 500 גרם	17.9		
טמפוני או בה נורמל 32 יח	19.9		
טמפוני או-בה סופר + 32יח	19.9		
טמפורה 500 גרם	11.0		
